title,address,link,image_url,thumbnail
IT'S DARK,"Patner House, First Floor, Tamashaa, Check post, Boring Rd, near S. K. Puri, opp. Tapasya Comlex, Sri Krishna Puri, Patna, Bihar, India",https://insider.in/its-dark-apr5-2024/event,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS4jHe96KRQu8UKTz6JDcri5Ut2zT6z_A4aHj7ul5dJlRCzPD9QQBmqjB8T8Q&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQO2zLQ3NJhG466j-nFwygIlPC9Y69Kh8MufPjtS5BbYihML7CT9JZh8eg&s
MOTHER EARTH DAY 2024 #VIRTUAL MARATHON AND CYCLOTHON-PATNA,"Jayprakash Narayan International Airport, Patna, Shaheed Pir Ali Khan Marg, Bhatpura village, Sheikhpura, Patna, Bihar, India",https://www.townscript.com/e/cyclothon534544sdmarathonfsd5DD4G4DDS,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSIxvRr_-pLC4oqCeBQDYZTfIpkdPwXqzxBSKT6Dn9nDg&s=10,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRLUT4Lm3LE3SOysBomb7dtJfykNJoVAfco2PxIkdM&s
ðŸŽ¯ 2nd Bihar Biggest Education Fair,"Hotel Patliputra Exotica, Exhibition Rd, Bigbazar, Lodipur, Patna, Bihar, India",https://allevents.in/patna/%F0%9F%8E%AF-2nd-bihar-biggest-education-fair/200026190401856,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcThbrk2aMEy4P5ud41-AmIkPtMnkwf9XE928DcVCWY0Gqn9oJu8n8rI60UsYw&s=10,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQXT99KKNwSb1h3fTNGF40aiRPo_xBZJQjppJGJJi3NqxcgOllTSelJTIE&s
IT'S DARK,"Patner House, First Floor, Tamashaa, Check post, Boring Rd, near S. K. Puri, opp. Tapasya Comlex, Sri Krishna Puri, Patna, Bihar, India",https://in.bookmyshow.com/events/it-s-dark/ET00393981,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRqAoFFCJEFDn0QJzxUuJ_aq6bgeo-ZUrOdSq2dG-RyWw&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTsukRWxs3VWPbQXylasDox0ndSlx73PtBBEbWmyWDvKH3idOG5tKvUA5s&s
Bihar State Text Book Publishing Corporation Limited,"Bihar State Text Book Publishing Corporation Ltd, Pathya Pustak Bhawan, Buddh Marg, Budh Vihar, Fraser Road Area, Patna, Bihar, India",https://bidassist.com/bihar-tenders/bihar-state-text-book-publishing-corporation-limited/detail-1a630d64-b9be-4acb-b182-c8f1503e5ef3,No image available,https://www.google.com/maps/vt/data=iWPA8-sru5zkWeH6VH-Y_gqycwmQpmY2qxUDUS6YeU39wvYgeR8jeza18RD_1iOmegD9VVNI2rpmJlUQeP2GRekH_BsA2SRZKTQ9Z80CT2XNjAsHX9Q
April 30 KM Running Challenge Patna,"Jayprakash Narayan International Airport, Patna, Shaheed Pir Ali Khan Marg, Bhatpura village, Sheikhpura, Patna, Bihar, India",https://www.townscript.com/e/copmarathon-cycling-and-running-challenge-004GF556RGREH4FNDF5FGFNF32,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSIxvRr_-pLC4oqCeBQDYZTfIpkdPwXqzxBSKT6Dn9nDg&s=10,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRLUT4Lm3LE3SOysBomb7dtJfykNJoVAfco2PxIkdM&s
"International Conference on Advancements in Science, Technology and Management ICASTM - 2024","St. Xavier's College Of Management And Technology, Patna, Ashiana - Digha Rd, Yadav Colony, Digha, Patna, Bihar, India",https://www.knowafest.com/explore/events/2024/04/0505-international-conference-advancements-science-technology-management-icastm-2024-st-xavier-s-college-patna-bihar-india-coimbatore,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTBQ77lpcJ7yQDevsKGxlFQalOl3ZQdU397jDSRa_GsTKPK-vRNBbEoaikgnQ&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRTVnDBUKR5JkMEM5E1DNjxDUWQqH3kZppP3EdorrVyLNvWn6HxlKfgDfU&s
Riwaazz Exhibtition Summer Edition-24 April 2024,"Lemon Tree Premier, Patna, 876, Exhibition Rd, near Gandhi Maidan Road, South Gandhi Maidan, Raja Ji Salai, Dujra Diara, Patna, Bihar, India",https://www.citywoofer.com/e/riwaazz-exhibtition-summer-edition-24-april-2024,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS9vl0H1tvQkQBN-oq5KnjgeMIi0V8FIy1zHCyERMqOPBOzYdwf0gt6_-9Gg48&s=10,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQnB2ZONQGdBb4bL8N1awjg6Z2ZIcTf_okKSZWhg-NQzVGl0JJzY1oWPyY&s
Kya Gupta Ji - Stand Up Solo by Siddharth Gupta,"J48C+89M B.Tech Chaiwala, Nageshwar Colony, Kidwaipuri, Patna, Bihar, India",https://in.bookmyshow.com/events/kya-gupta-ji-stand-up-solo-by-siddharth-gupta/ET00353517,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSCYQIV9E7fKRlaa252TMU2LGF8R0t4e8BfGtdt0x1ogQ&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQQDlsosQaBdT5-vylr-0fEVLReOobb_DPLHE83aOvotgBnGlGBfrMG2CE&s
Sutraa - The Indian Fashion Exhibition,"Hotel The Panache, West of Ram Gulam Chowk, South Gandhi Maidan, Raja Ji Salai, Dujra Diara, Patna, Bihar, India",https://www.tradeindia.com/tradeshows/130838/sutraa-the-indian-fashion-exhibition-patna-2024.html,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR4l_dcu2AF_BE634u8cLSul6QyelxchN4PhEhBdxYmHqpL&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTJCpoVD9boOcAl4D-1ThozdFUVJI3YuMxHvpjEGgU&s
